A-200 Shampoo Concentrate	guess=drug	gold=	confidence=0.8748324827817325
Example:	Acet-2	guess=drug	gold=	confidence=0.971402933564298
Example:	Actifed Cold & Sinus Caplets 26	guess=drug	gold=	confidence=0.7764991185139749
Example:	Actigall	guess=drug	gold=	confidence=0.8005107014667698
Example:	Actisite	guess=drug	gold=	confidence=0.8223556757019939
Example:	Activase	guess=drug	gold=	confidence=0.670455325335156
Example:	Adriamycin RDF	guess=drug	gold=	confidence=0.637525871709639
Example:	Advil	guess=drug	gold=	confidence=0.43921102312055105
Example:	AeroBid-M	guess=drug	gold=	confidence=0.5713731533178213
Example:	Aeroseb-HC	guess=drug	gold=	confidence=0.49727543133348917
Example:	Ak-Taine	guess=drug	gold=	confidence=0.6195111884696464
Example:	Akne-Mycin	guess=drug	gold=	confidence=0.5142669592428426
Example:	Albert Docusate 44	guess=drug	gold=	confidence=0.9895930200333329
Example:	Albert Glyburide	guess=person	gold=	confidence=0.7333219531339639
Example:	Alesse	guess=person	gold=	confidence=0.7785621263928403
Example:	Alkets 18	guess=drug	gold=	confidence=0.9375354537376295
Example:	Allay	guess=drug	gold=	confidence=0.26620843959481383
Example:	Allegra	guess=place	gold=	confidence=0.4600740611728481
Example:	Allerest Maximum Strength 15	guess=drug	gold=	confidence=0.9829096575176505
Example:	Alramucil Regular	guess=drug	gold=	confidence=0.3361880929982631
Example:	Alti-Triazolam 18	guess=drug	gold=	confidence=0.9892094589440775
Example:	Aludrox	guess=drug	gold=	confidence=0.6356528726262232
Example:	Amcort	guess=drug	gold=	confidence=0.44002001470626617
Example:	Amgenal Cough	guess=place	gold=	confidence=0.26317124552701904
Example:	Amilon	guess=drug	gold=	confidence=0.5495331786582369
Example:	AMMONIATED MERCURY	guess=drug	gold=	confidence=0.9339696945469986
Example:	Anaprox 13	guess=drug	gold=	confidence=0.9973743623378634
Example:	Anbesol Regular Strength Liquid	guess=person	gold=	confidence=0.489611035922076
Example:	Ancotil	guess=drug	gold=	confidence=0.58587961990653
Example:	Andronate 100	guess=drug	gold=	confidence=0.7442988110045422
Example:	Antacid Liquid	guess=drug	gold=	confidence=0.6649424648292488
Example:	Antacid Liquid Double Strength	guess=drug	gold=	confidence=0.5284034349842199
Example:	ANTIVENIN	guess=drug	gold=	confidence=0.7746641998060256
Example:	APD	guess=drug	gold=	confidence=0.6584295566228302
Example:	Aphrodyne	guess=place	gold=	confidence=0.5709484170888418
Example:	Aphthasol	guess=place	gold=	confidence=0.6513374408892928
Example:	Apo-Alpraz	guess=drug	gold=	confidence=0.9813807717109725
